Quantity,datetime
17,2018.9315068493152
65,2018.9315068493152
56,2018.945205479452
74,2018.945205479452
48,2018.945205479452
25,2018.945205479452
47,2018.945205479452
100,2018.9506849315069
69,2018.9506849315069
40,2018.9506849315069
76,2018.9506849315069
30,2018.9506849315069
38,2018.9506849315069
67,2018.9506849315069
95,2018.958904109589
55,2018.958904109589
43,2018.9616438356165
37,2018.964383561644
66,2018.964383561644
66,2018.964383561644
68,2018.964383561644
90,2018.964383561644
45,2018.964383561644
86,2018.964383561644
41,2018.9698630136986
40,2018.9698630136986
58,2018.9698630136986
54,2018.9698630136986
40,2018.9698630136986
58,2018.9698630136986
65,2018.9835616438356
80,2018.9835616438356
30,2018.9835616438356
100,2019.027397260274
35,2019.0794520547945
66,2018.509589041096
49,2018.5260273972603
97,2018.5260273972603
12,2018.545205479452
72,2018.545205479452
23,2018.545205479452
32,2018.545205479452
38,2018.558904109589
24,2018.558904109589
42,2018.5616438356165
26,2018.5753424657535
32,2018.5753424657535
24,2018.5808219178082
38,2018.5808219178082
28,2018.5808219178082
78,2018.5808219178082
42,2018.5835616438355
51,2018.5972602739726
80,2018.5972602739726
14,2018.6027397260275
16,2018.6164383561643
38,2018.6164383561643
12,2018.6191780821919
78,2018.6191780821919
31,2018.6328767123289
64,2018.6328767123289
24,2018.6328767123289
36,2018.6356164383562
48,2018.6356164383562
41,2018.6383561643836
37,2018.6383561643836
35,2018.6383561643836
36,2018.641095890411
47,2018.6520547945206
